name_a,name_b,token_sort_score,partial_ratio_score,recommended_canonical,match_reason,raw_variants_a,raw_variants_b
international potato center,international trade center,86.8,84.6,international potato center,token_sort,International Potato Center,International Trade Center
ministry of agriculture,ministry of agriculture france,86.8,100.0,ministry of agriculture france,token_sort,Ministry of Agriculture,Ministry of Agriculture - France
ministry of border affairs,ministry of foreign affairs,86.8,84.6,ministry of border affairs,token_sort,Ministry of Border Affairs,Ministry of Foreign Affairs
ministry of mines and mineral resources,ministry of oil and mineral resources,86.8,89.2,ministry of mines and mineral resources,token_sort,Ministry of Mines and Mineral Resources,Ministry of Oil and Mineral Resources
royal norwegian embassy,royal norwegian embassy asmara,86.8,100.0,royal norwegian embassy,token_sort,Royal Norwegian Embassy,"Royal Norwegian Embassy, Asmara"
royal norwegian embassy,royal norwegian embassy beirut,86.8,100.0,royal norwegian embassy,token_sort,Royal Norwegian Embassy,"Royal Norwegian Embassy, Beirut"
royal norwegian embassy,royal norwegian embassy london,86.8,100.0,royal norwegian embassy,token_sort,Royal Norwegian Embassy,"Royal Norwegian Embassy, London"
international aid services,international aid services danmark,86.7,100.0,international aid services danmark,token_sort,International Aid Services,International Aid Services Danmark
italian agency for development cooperation dakar office,italian agency for development cooperation khartoum office,86.7,90.9,italian agency for development cooperation khartoum office,token_sort,Italian Agency for Development Cooperation - Dakar Office,Italian Agency for Development Cooperation - Khartoum Office
prime minister s office hungary,prime minister s office italy,86.7,90.6,prime minister s office hungary,token_sort,Prime Minister's Office - Hungary,Prime Minister's Office - Italy
united nations development programme mali,united nations development programme sudan,86.7,94.9,united nations development programme sudan,token_sort,United Nations Development Programme Mali,United Nations Development Programme Sudan
united nations development programme mali,united nations development programme syria,86.7,94.9,united nations development programme syria,token_sort,United Nations Development Programme Mali,United Nations Development Programme Syria
united nations development programme south sudan,united nations development programme syria,86.7,95.0,united nations development programme south sudan,token_sort,United Nations Development Programme South Sudan,United Nations Development Programme Syria
department of energy united states,department of labor united states,86.6,84.8,department of labor united states,token_sort,Department of Energy - United States,Department of Labor - United States
italian agency for development cooperation,italian agency for development cooperation dakar office,86.6,100.0,italian agency for development cooperation,token_sort,Italian Agency for Development Cooperation|Italian Agency for Development Cooperation,Italian Agency for Development Cooperation - Dakar Office
universita degli studi di macerata,universita degli studi di palermo,86.6,90.6,universita degli studi di macerata,token_sort,Università degli Studi di Macerata,Università degli Studi di Palermo
universita degli studi di roma tre,universita degli studi di trieste,86.6,90.0,universita degli studi di roma tre,token_sort,Università degli Studi di Roma Tre,Università degli Studi di Trieste
government of chad,government of ghana,86.5,91.4,government of chad,token_sort,Government of Chad,Government of Ghana
government of haiti,government of mali,86.5,91.4,government of mali,token_sort,Government of Haiti,Government of Mali
government of italy,government of mali,86.5,90.9,government of italy,token_sort,Government of Italy,Government of Mali
government of libya,government of mali,86.5,94.1,government of mali,token_sort,Government of Libya,Government of Mali
government of mali,government of nepal,86.5,87.5,government of mali,token_sort,Government of Mali,Government of Nepal
amref health africa,amref health africa italy,86.4,100.0,amref health africa,token_sort,Amref Health Africa,Amref Health Africa - Italy
amref health africa,amref health africa spain,86.4,100.0,amref health africa,token_sort,Amref Health Africa,AMREF Health Africa - Spain
embassy of the republic of poland in beirut,embassy of the republic of poland in damascus,86.4,92.5,embassy of the republic of poland in beirut,token_sort,Embassy of the Republic of Poland in Beirut,Embassy of the Republic of Poland in Damascus
embassy of the republic of poland in bogota,embassy of the republic of poland in damascus,86.4,92.7,embassy of the republic of poland in damascus,token_sort,Embassy of the Republic of Poland in Bogota,Embassy of the Republic of Poland in Damascus
government of puntland,government of scotland,86.4,86.4,government of scotland,token_sort,Government of Puntland,Government of Scotland
government of puntland,government of thailand,86.4,86.4,government of thailand,token_sort,Government of Puntland,Government of Thailand
government of scotland,government of thailand,86.4,86.4,government of thailand,token_sort,Government of Scotland,Government of Thailand
government of south sudan,government of sudan,86.4,88.9,government of south sudan,token_sort,Government of South Sudan,Government of Sudan
community of galicia spain,community of murcia spain,86.3,84.0,community of galicia spain,token_sort,Community of Galicia - Spain,Community of Murcia - Spain
humanity and inclusion,humanity and inclusion canada,86.3,100.0,humanity and inclusion,token_sort,Humanity and Inclusion,Humanity and Inclusion Canada
ministry of health puntland,ministry of health spain,86.3,91.3,ministry of health spain,token_sort,Ministry of Health - Puntland,Ministry of Health - Spain
plan international canada,plan international finland,86.3,86.4,plan international canada,token_sort,Plan International Canada,Plan International Finland
plan international ireland,plan international italia,86.3,89.8,plan international ireland,token_sort,Plan International Ireland,Plan International Italia
united nations children s fund belgium committee,united nations children s fund canada committee,86.3,85.1,united nations children s fund canada committee,token_sort,United Nations Children's Fund - Belgium Committee,United Nations Children's Fund - Canada Committee
world concern international,world hope international,86.3,79.2,world concern international,token_sort,World Concern International,World Hope International
ministry of health czech republic,ministry of public health,86.2,83.7,ministry of public health,token_sort,Ministry of Health - Czech Republic,Ministry of Public Health
universita degli studi di firenze,universita degli studi di foggia,86.2,93.3,universita degli studi di firenze,token_sort,Università degli Studi di Firenze,Università degli Studi di Foggia
department of fisheries united states,department of justice united states,86.1,82.9,department of justice united states,token_sort,Department of Fisheries - United States,Department of Justice - United States
ministry of foreign affairs kazakhstan,ministry of foreign affairs latvia,86.1,90.9,ministry of foreign affairs latvia,token_sort,Ministry of Foreign Affairs - Kazakhstan,Ministry of Foreign Affairs - Latvia
united nations mission in south sudan,united nations mission in the sudan,86.1,91.4,united nations mission in south sudan,token_sort,United Nations Mission in South Sudan,United Nations Mission in the Sudan
