cleaned_name,n_raw_variants,raw_variants
association des enseignantes et des enseignants franco ontariens,1,Association des enseignantes et des enseignants franco-ontariens
association des femmes d affaires du burundi,1,Association des Femmes d'Affaires du Burundi
association des femmes en action pour le developpement de mont organise,1,Association des Femmes en Action pour le Développement de Mont-Organisé
association des municipalites du mali,1,Association des Municipalités du Mali
association des producteurs de riz de buramata vi,1,Association des Producteurs de Riz de Buramata VI
association des producteurs de riz de ninga,1,Association des Producteurs de Riz de Ninga
association des veuves de la region imbo,1,Association des Veuves de la Region Imbo
association des veuves et orphelins de djikoroni para,1,Association des Veuves et Orphelins de Djikoroni Para
association dushirehamwe,1,Association Dushirehamwe
association entre crc sogema uqtr l universite de sherbrooke le college de maisonneuve sherbrooke le college de maisonneuve,1,"Association entre CRC Sogema, UQTR, l'Université de Sherbrooke, le Collège de Maisonneuve Sherbrooke, le Collège de Maisonneuve"
association femmes et droits humains,1,Association Femmes et Droits Humains
association for assistance to political prisoners,1,Association for Assistance to Political Prisoners
association for cultural technical and educational cooperation,1,"Association for Cultural, Technical and Educational Cooperation"
association for forests development and conservation,1,"Association for Forests, Development and Conservation"
association for social assistance for vulnerable children ndinkabandi,1,Association for Social Assistance for Vulnerable Children - Ndinkabandi
association for strengthening agricultural research in eastern and central africa,1,Association for Strengthening Agricultural Research in Eastern and Central Africa
association for the promotion and exhibition of the arts in lebanon,1,Association for the Promotion and Exhibition of the Arts in Lebanon
association for the protection of jabal moussa,1,Association for the Protection of Jabal Moussa
association for the support of islamic education,1,Association for the support  of Islamic education
association ivoirienne pour le bien etre familial,1,Association Ivoirienne pour le Bien-Etre Familial
association jeunesse en marche pour le developpement en centrafrique,1,Association Jeunesse en Marche pour le Développement en Centrafrique
association justice et misericorde,1,Association Justice et Misericorde
association les nouvelles initiatives au mali,1,Association les Nouvelles Initiatives au Mali
association malienne des droits de l homme,1,Association Malienne des Droits de l'Homme
association malienne pour la paix et le salut,1,Association Malienne pour la Paix et le Salut
association malienne pour la protection et la promotion de la famille,1,Association Malienne pour la Protection et la Promotion de la Famille
association malienne pour la survie au sahel,1,Association Malienne pour la Survie au Sahel
association n zrama d abengourou,1,Association N'Zrama d'Abengourou
association of concerned volunteer families caring for orphans and other vulnerable children,1,Association of Concerned Volunteer Families Caring for Orphans and Other Vulnerable Children
association of european border regions,1,Association of European Border Regions
association of european parliamentarians with africa,1,Association of European Parliamentarians with Africa
association of public health laboratories,1,Association of Public Health Laboratories
association of schools of public health,1,Association of Schools of Public Health
association of south east asian nations,1,Association of South East Asian Nations
association of universities and colleges of canada,1,Association of Universities and Colleges of Canada
association planteurs jonc tiby,1,Association Planteurs Jonc-Tiby
association pour des reseaux educatifs et culturels francophones cote d ivoire,1,Association Pour des Reseaux Educatifs et Culturels Francophones Cote D'Ivoire
association pour la cooperation avec la micro entreprise,1,Association pour la Coopération avec la Micro Entreprise
association pour la promotion de l education et de la formation a l etranger,1,Association pour la Promotion de l'Education et de la Formation à l'étranger
association pour la promotion de l elevage au sahel et en savane,1,Association pour la Promotion de l'Elevage au Sahel et en Savane
association pour la promotion des droits et du bien etre de la famille,1,Association pour la Promotion des Droits et du Bien Être de la Famille
association pour la promotion des libertes fondamentales au tchad,1,Association pour la Promotion des Libertés Fondamentales au TChad
association pour la promotion des palmiculteurs du burundi,1,Association pour la Promotion des Palmiculteurs du Burundi
association pour la promotion du secteur rural et urbain,1,Association pour la Promotion du Secteur Rural et Urbain
association pour la solidarite et l assistance socio sanitaire,1,Association pour la Solidarité et l'Assistance Socio-Sanitaire
association pour le marketing social au tchad,1,Association pour le Marketing Social au Tchad
association pour le progres et la defense des droits des femmes,1,Association pour le Progres et la Defense des Droits des Femmes
association pour le soutien du developpement des activites de population,1,Association pour le Soutien du Développement des Activités de Population
association professionnelle des systemes financiers decentralises du mali,1,Association Professionnelle des Systemes Financiers Décentralisés du Mali
association routes du sud,1,Association Routes du Sud
association soro yiriwaso,1,Association Soro Yiriwaso
association true way,1,Association True Way
association turere ibibondo,1,Association Turere Ibibondo
associazione alef,1,Associazione Alef
associazione centro elis,1,Associazione Centro ELIS
associazione della comunita araba siriana in italia,1,Associazione della Comunità Araba Siriana in Italia
associazione di cooperazione cristiana internazionale,1,Associazione di Cooperazione Cristiana Internazionale
associazione di cooperazione rurale in africa e america latina,1,Associazione di Cooperazione Rurale in Africa e America Latina
associazione di tecnici per la solidarieta e cooperazione internazionale,1,Associazione di Tecnici per la Solidarieta e Cooperazione Internazionale
associazione il melograno,1,Associazione Il Melograno
associazione internazionale culturale ara pacis,1,Associazione Internazionale Culturale Ara Pacis
associazione italiana amici di raoul follereau,1,Associazione Italiana Amici di Raoul Follereau
associazione italiana per la solidarieta tra i popol,1,Associazione Italiana per la Solidarietà tra i Popol
associazione per la cooperazione socio sanitaria internazionale,1,Associazione per la Cooperazione Socio-Sanitaria Internazionale
associazione perigeo international people community,1,Associazione Perigeo International People Community
associazione pro terra sancta,1,Associazione Pro Terra Sancta
associazione punto di partenza,1,Associazione Punto di Partenza
associazione soomaaliya onlus,1,Associazione Soomaaliya Onlus
associazione spazio interiore e ambiente,1,Associazione Spazio Interiore e Ambiente
associazione trentina rete di servizio,1,Associazione Trentina Rete di Servizio
associazione uomo mondo odv,1,Associazione UOMO MONDO OdV
associzione monumenta orientalia,1,Associzione Monumenta Orientalia
assopro maramvya,1,ASSOPRO Maramvya
astad international,1,ASTAD International LLC
asuntos del sur,1,Asuntos del Sur
at t,1,AT&T
atabal foundation for development cooperation,1,ATABAL Foundation for Development Cooperation
atelier,1,Atelier
atkinsrealis,1,AtkinsRéalis
atlantic council for international cooperation,1,Atlantic Council for International Cooperation
atlas alliance,1,The Atlas Alliance
