name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
ministry of foreign affairs japan,ministry of foreign affairs south korea,80.6,91.8,no,ministry of foreign affairs japan,differentiating_word,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - South Korea
ministry of health and sanitation,ministry of health and sports,80.6,90.6,no,ministry of health and sanitation,country_name_swap,Ministry of Health and Sanitation,Ministry of Health and Sports
universita degli studi di firenze,universita degli studi di roma tre,80.6,90.0,no,universita degli studi di firenze,coder_rejected,Università degli Studi di Firenze,Università degli Studi di Roma Tre
universita degli studi di roma tre,universita degli studi di sassari,80.6,90.0,no,universita degli studi di roma tre,coder_rejected,Università degli Studi di Roma Tre,Università degli Studi di Sassari
inter american development bank,inter american development bank grant facility,80.5,100.0,no,inter american development bank,coder_rejected,Inter-American Development Bank,Inter-American Development Bank Grant Facility
association des producteurs de riz de buramata vi,association des producteurs de riz de ninga,80.4,93.8,no,association des producteurs de riz de buramata vi,coder_rejected,Association des Producteurs de Riz de Buramata VI,Association des Producteurs de Riz de Ninga
government of chad,government of colombia,80.0,90.9,no,government of chad,country_name_swap,Government of Chad,Government of Colombia
ministry of foreign affairs norway,ministry of foreign affairs portugal,80.0,92.3,no,ministry of foreign affairs norway,country_name_swap,Ministry of Foreign Affairs - Norway,Ministry of Foreign Affairs - Portugal
ministry of foreign and european affairs luxembourg,ministry of foreign and european affairs slovakia,80.0,92.3,no,ministry of foreign and european affairs luxembourg,country_name_swap,Ministry of Foreign and European Affairs - Luxembourg,Ministry of Foreign and European Affairs - Slovakia
ministry of foreign and european affairs luxembourg,ministry of foreign and european affairs slovenia,80.0,92.3,no,ministry of foreign and european affairs luxembourg,country_name_swap,Ministry of Foreign and European Affairs - Luxembourg,Ministry of Foreign and European Affairs - Slovenia
ministry of health,ministry of health djibouti,80.0,100.0,no,ministry of health,coder_rejected,Ministry of Health,Ministry of Health - Djibouti
ministry of health,ministry of health puntland,80.0,100.0,no,ministry of health,coder_rejected,Ministry of Health,Ministry of Health - Puntland
msi reproductive choices,msi reproductive choices south sudan,80.0,100.0,no,msi reproductive choices,differentiating_word,MSI Reproductive Choices,MSI Reproductive Choices South Sudan
university of alicante,university of cantabria,80.0,90.0,no,university of alicante,country_name_swap,University of Alicante,University of Cantabria
veterinaires sans frontieres,veterinaires sans frontieres international,80.0,100.0,no,veterinaires sans frontieres international,coder_rejected,Vétérinaires Sans Frontières,Vétérinaires Sans Frontières International
veterinaires sans frontieres europa,veterinaires sans frontieres suisse,80.0,92.3,no,veterinaires sans frontieres europa,country_name_swap,Veterinaires Sans Frontieres Europa,Vétérinaires Sans Frontières Suisse
united nations multidimensional integrated stabilization mission in mali,united nations multidimensional integrated stabilization mission in the central african republic,79.8,97.1,no,united nations multidimensional integrated stabilization mission in mali,word_count_mismatch,United Nations Multidimensional Integrated Stabilization Mission in Mali,United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic
ministry of agriculture and food security south sudan,ministry of agriculture forestry and food security,79.6,90.1,no,ministry of agriculture forestry and food security,differentiating_word,Ministry of Agriculture and Food Security (South Sudan),"Ministry of Agriculture, Forestry and Food Security"
ecole polytechnique federale de lausanne,ecole polytechnique federale de zurich,79.5,91.4,no,ecole polytechnique federale de zurich,country_name_swap,École Polytechnique Fédérale de Lausanne,Ecole Polytechnique Fédérale de Zurich
ministry of foreign affairs latvia,ministry of foreign affairs south korea,79.5,90.3,no,ministry of foreign affairs south korea,differentiating_word,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - South Korea
ministry of foreign affairs netherlands,ministry of foreign affairs poland,79.5,92.1,no,ministry of foreign affairs netherlands,country_name_swap,Ministry of Foreign Affairs - Netherlands,Ministry of Foreign Affairs - Poland
ministry of foreign affairs poland,ministry of foreign affairs south korea,79.5,90.6,no,ministry of foreign affairs south korea,differentiating_word,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - South Korea
ministry of agriculture and irrigation,ministry of agriculture france,79.4,92.9,no,ministry of agriculture and irrigation,differentiating_word,Ministry of Agriculture and Irrigation,Ministry of Agriculture - France
ministry of foreign affairs,ministry of foreign affairs and emigrants,79.4,100.0,no,ministry of foreign affairs and emigrants,coder_rejected,Ministry of Foreign Affairs,Ministry of Foreign Affairs and Emigrants
ministry of foreign affairs belgium,ministry of foreign affairs japan,79.4,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Belgium,Ministry of Foreign Affairs - Japan
ministry of foreign affairs denmark,ministry of foreign affairs japan,79.4,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Denmark,Ministry of Foreign Affairs - Japan
ministry of foreign affairs estonia,ministry of foreign affairs japan,79.4,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Estonia,Ministry of Foreign Affairs - Japan
ministry of foreign affairs greece,ministry of foreign affairs norway,79.4,90.6,no,ministry of foreign affairs norway,country_name_swap,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Norway
ministry of foreign affairs greece,ministry of foreign affairs poland,79.4,90.3,no,ministry of foreign affairs greece,country_name_swap,Ministry of Foreign Affairs - Greece,Ministry of Foreign Affairs - Poland
ministry of foreign affairs japan,ministry of foreign affairs romania,79.4,91.8,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Romania
ministry of foreign affairs latvia,ministry of foreign affairs norway,79.4,90.6,no,ministry of foreign affairs norway,country_name_swap,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Norway
ministry of foreign affairs latvia,ministry of foreign affairs poland,79.4,93.8,no,ministry of foreign affairs poland,country_name_swap,Ministry of Foreign Affairs - Latvia,Ministry of Foreign Affairs - Poland
united nations mission in nepal,united nations mission in south sudan,79.4,91.2,no,united nations mission in south sudan,differentiating_word,United Nations Mission in Nepal,United Nations Mission in South Sudan
united nations development programme south sudan,united nations development programme south sudan common humanitarian fund,79.3,100.0,no,united nations development programme south sudan,word_count_mismatch,United Nations Development Programme South Sudan,United Nations Development Programme South Sudan Common Humanitarian Fund
adventist development and relief agency czech republic,adventist development and relief agency danmark,79.2,92.0,no,adventist development and relief agency danmark,differentiating_word,Adventist Development and Relief Agency Czech Republic,Adventist Development and Relief Agency Danmark
