name_a,name_b,token_sort_score,partial_ratio_score,accept,canonical_name,review_note,raw_variants_a,raw_variants_b
inter american development bank,inter american development bank invest,89.9,100.0,no,inter american development bank,coder_rejected,Inter-American Development Bank,Inter-American Development Bank Invest
ministry of foreign affairs poland,ministry of foreign affairs romania,89.9,92.5,no,ministry of foreign affairs poland,country_name_swap,Ministry of Foreign Affairs - Poland,Ministry of Foreign Affairs - Romania
united nations relief and works agency for palestine refugees in the near east,united nations relief and works agency for palestine refugees in the near east spanish committee,89.7,100.0,no,united nations relief and works agency for palestine refugees in the near east,coder_rejected,United Nations Relief and Works Agency for Palestine Refugees in the Near East,United Nations Relief and Works Agency for Palestine Refugees in the Near East - Spanish Committee
ministere de l action humanitaire et de la reconciliation nationale,ministere de l’action humanitaire et de la reconciliation nationale,89.6,98.5,no,ministere de l action humanitaire et de la reconciliation nationale,coder_rejected,Ministère de l' Action Humanitaire Et de la Réconciliation Nationale,Ministère de l’Action humanitaire et de la Réconciliation Nationale
ministere de l enseignement superieur et de la recherche,ministere de l enseignement superieur et de la recherche scientifique,89.6,100.0,no,ministere de l enseignement superieur et de la recherche,coder_rejected,Ministère de l'Enseignement supérieur et de la Recherche,Ministère de l'Enseignement supérieur et de la Recherche scientifique
ministry of foreign affairs japan,ministry of foreign affairs latvia,89.6,92.1,no,ministry of foreign affairs japan,country_name_swap,Ministry of Foreign Affairs - Japan,Ministry of Foreign Affairs - Latvia
italian agency for development cooperation khartoum office,italian agency for development cooperation la paz office,89.5,87.5,no,italian agency for development cooperation khartoum office,coder_rejected,Italian Agency for Development Cooperation - Khartoum Office,Italian Agency for Development Cooperation - La Paz Office
embassy of the republic of poland in amman,embassy of the republic of poland in bogota,89.4,93.7,no,embassy of the republic of poland in bogota,country_name_swap,Embassy of the Republic of Poland in Amman,Embassy of the Republic of Poland in Bogota
embassy of the republic of poland in bogota,embassy of the republic of poland in cairo,89.4,93.8,no,embassy of the republic of poland in bogota,country_name_swap,Embassy of the Republic of Poland in Bogota,Embassy of the Republic of Poland in Cairo
ministry of public health,ministry of public health qatar,89.3,100.0,no,ministry of public health qatar,coder_rejected,Ministry of Public Health,Ministry of Public Health - Qatar
sierra leone ports authority,sierra leone roads authority,89.3,89.3,no,sierra leone roads authority,coder_rejected,Sierra Leone Ports Authority,Sierra Leone Roads Authority
ministere de l education de l alphabetisation et des langues nationales,ministre de l education nationale et de l alphabetisation,89.1,86.3,no,ministere de l education de l alphabetisation et des langues nationales,coder_rejected,"Ministère de l'Education, de l'Alphabétisation et des Langues Nationales",Ministre de l'Education Nationale et de l'Alphabétisation
community of asturias spain,community of canarias spain,88.9,88.9,no,community of asturias spain,coder_rejected,Community of Asturias - Spain,Community of Canarias - Spain
federal ministry of the interior,federal ministry of the interior austria,88.9,100.0,no,federal ministry of the interior austria,differentiating_word,Federal Ministry of the Interior,Federal Ministry of the Interior - Austria
italian agency for development cooperation khartoum office,italian agency for development cooperation mogadishu office,88.9,87.9,no,italian agency for development cooperation mogadishu office,coder_rejected,Italian Agency for Development Cooperation - Khartoum Office,Italian Agency for Development Cooperation - Mogadishu Office
plan international ireland,plan international nederland,88.9,87.5,no,plan international ireland,country_name_swap,Plan International Ireland,Plan International Nederland
united nations development programme,united nations environment programme,88.9,88.9,no,united nations development programme,coder_rejected,United Nations Development Programme,United Nations Environment Programme
veterinaires sans frontieres,veterinaires sans frontieres europa,88.9,100.0,no,veterinaires sans frontieres,coder_rejected,Vétérinaires Sans Frontières,Veterinaires Sans Frontieres Europa
veterinaires sans frontieres,veterinaires sans frontieres suisse,88.9,100.0,no,veterinaires sans frontieres,coder_rejected,Vétérinaires Sans Frontières,Vétérinaires Sans Frontières Suisse
