"raw_name","n_states","n_years","first_year","last_year","n_appearances"
"United Nations Institute for Training and Research",5,6,2015,2020,19
"World Wildlife Fund",6,12,2008,2020,19
"Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation",8,10,2009,2020,19
"AfDB Fragile States Facility",8,7,2014,2020,18
"African Field Epidemiology Network",3,6,2015,2020,18
"Attorney-Generals",3,8,2005,2012,18
"C2D Services",2,13,2008,2020,18
"Catalyste+",3,6,2015,2020,18
"Chenega Corporation",3,6,2015,2020,18
"Christian Michelsen Institute for Science and Intellectual Freedom",3,12,2005,2020,18
"Consortium Desjardins International Development and Financière agricole du Québec-Développement
International",2,11,2010,2020,18
"Federal Ministry for Environment, Nature Conservation and Nuclear Safety - Germany",2,10,2011,2020,18
"Government of South Sudan",2,16,2005,2020,18
"High Commission of Canada to Kenya",3,10,2008,2017,18
"Inner City Fund",6,3,2018,2020,18
"Institut de Formation Syndicale Internationale",2,16,2005,2020,18
"International Centre for Advanced Mediterranean Agronomic Studies",3,13,2007,2020,18
"KNCV Tuberculosis Foundation",2,11,2010,2020,18
"Ministry of Economy and Finance - South Korea",4,10,2010,2020,18
"Oxfam Italia",3,8,2013,2020,18
"Swisscontact - Swiss Foundation for Technical Cooperation",4,7,2014,2020,18
"Abu Dhabi Department of Finance - United Arab Emirates",7,9,2009,2019,17
"Africare",4,13,2008,2020,17
"Carnegie Endowment for International Peace",4,7,2014,2020,17
"Carrefour de Solidarité Internationale",2,11,2009,2020,17
"Cowater International",2,16,2005,2020,17
"Democracy International",5,8,2013,2020,17
"Development for People and Nature Association",2,10,2011,2020,17
"Embassy of Canada in Khartoum",2,11,2008,2018,17
"Entraide et Fraternité",2,13,2008,2020,17
"Geneva Centre for Security Sector Governance",5,10,2009,2020,17
"Government of Chad",2,16,2005,2020,17
"Government of Cote d'Ivoire",2,16,2005,2020,17
"Government of Sierra Leone",2,16,2005,2020,17
"Healthnet TPO",2,12,2005,2017,17
"Ministry of Environment",2,13,2007,2020,17
"Ministry of Labour, Solidarity and Social Security - Portugal",2,13,2005,2017,17
"Multilateral Investment Fund",2,11,2010,2020,17
"Nordic International Support Foundation",3,8,2013,2020,17
"Oxfam Canada",2,13,2005,2019,17
"PATH (Program for Appropriate Technology in Health)",3,8,2010,2017,17
"RTI International",7,8,2013,2020,17
"Save the Children Federation",2,14,2007,2020,17
"Solidagro",2,13,2008,2020,17
"SOS Village d'Enfants- Belgium",3,15,2006,2020,17
"Statistics Sweden",2,11,2009,2020,17
"Terre des Hommes Italy",3,10,2011,2020,17
"World Relief",3,10,2010,2020,17
"11.11.11",1,16,2005,2020,16
"Agence Routière du Burundi",1,16,2005,2020,16
"Assembly Social Bashhim",1,16,2005,2020,16
"Association pour la Coopération avec la Micro Entreprise",1,16,2005,2020,16
"Caritas Danmark",4,11,2007,2020,16
"Centre de Coopération Internationale en Santé et Développement",2,10,2011,2020,16
"Controinformazione Terzo Mondo - Servizio Internazionale Volontario",1,16,2005,2020,16
"Council for Development and Reconstruction",1,16,2005,2020,16
"ELEAT",2,8,2009,2016,16
"Gouvernement de la République d'Haiti",1,16,2005,2020,16
"Government of Burundi",1,16,2005,2020,16
