raw_name,cleaned_name
Ministry of Planning and International Cooperation,ministry of planning and international cooperation
Movement for International Solidarity,movement for international solidarity
National Tuberculosis Control Program,national tuberculosis control program
Norwegian Water Resources and Energy Directorate,norwegian water resources and energy directorate
Organisation pour la Mise en Valeur de Flueve Senegal,organisation pour la mise en valeur de flueve senegal
Oxfam Ireland,oxfam ireland
Pan American Development Foundation,pan american development foundation
Public Electricity Corporation,public electricity
Qatar Fund for Development,qatar fund for development
Service des finances de l'Université Laval,service des finances de l universite laval
Social Fund for Development,social fund for development
The Consulting House Limited,consulting house
United Nations Development Programme South Sudan,united nations development programme south sudan
United States Energy Association,united states energy association
Universidad Autónoma de Madrid,universidad autonoma de madrid
Università degli Studi di Firenze,universita degli studi di firenze
Université de Montréal,universite de montreal
Uppsala universitet,uppsala universitet
Utviklingsfondet,utviklingsfondet
Aga Khan Development Network,aga khan development network
Agenzia n. 1 di Pavia per Ayamé,agenzia n 1 di pavia per ayame
American Institutes for Research,american institutes for research
American University,american university
AmidEast,amideast
Association of South East Asian Nations,association of south east asian nations
Association Professionnelle des Systemes Financiers Décentralisés du Mali,association professionnelle des systemes financiers decentralises du mali
AVSI Alto Adige,avsi alto adige
"Camris International, Inc.",camris international
Canada School of Public Service,canada school of public service
Canada World Youth,canada world youth
Canadian Cooperative Association,canadian cooperative association
CDM Corporation,cdm
Christian Aid,christian aid
Committee for International Cooperation and Development,committee for international cooperation and development
Conseil National de Lutte contre le Sida,conseil national de lutte contre le sida
Conseil ouest et centre africain pour la recherche et le développement agricoles,conseil ouest et centre africain pour la recherche et le developpement agricoles
Equitas - International Centre for Human Rights Education,equitas international centre for human rights education
FCG Swedish Development AB,fcg swedish development ab
Fondazione Don Carlo Gnocchi ONLUS,fondazione don carlo gnocchi onlus
Fulbright Colombia,fulbright colombia
Government of Finland,government of finland
Health Information Systems Program - South Africa,health information systems program south africa
Heartland Alliance International,heartland alliance international
HET NEDERLANDSE RODE KRUIS,het nederlandse rode kruis
International Solidarity Foundation,international solidarity foundation
Justice Africa,justice africa
Lundin Foundation,lundin foundation
Ministère de l'Economie et des Finances,ministere de l economie et des finances
"Ministère de l'environnement, de l'agriculture et de l'élevage - Burundi",ministere de l environnement de l agriculture et de l elevage burundi
"Ministère de l’Entreprenariat National, de l’Emploi et de la Formation Professionnelle",ministere de l’entreprenariat national de l’emploi et de la formation professionnelle
"Ministry of Development, Competitiveness and Shipping - Greece",ministry of development competitiveness and shipping greece
Ministry of Education and Scientific Research - Romania,ministry of education and scientific research romania
Ministry of Finance Sierra Leone,ministry of finance sierra leone
Nigeria Trust Fund,nigeria trust fund
Organisation Internationale de la Francophonie,organisation internationale de la francophonie
Oxfam Great Britain,oxfam great britain
Oxfam Netherlands,oxfam netherlands
Press Now,press now
Primate’s World Relief and Development Fund,primate’s world relief and development fund
Programme National Lepre et Tuberculose,programme national lepre et tuberculose
Project Coordination Unit,project coordination unit
Qatar Foundation,qatar foundation
Salvation Army,salvation army
The Life and Peace Institute,life and peace institute
Tostan,tostan
Union des producteurs agricoles,union des producteurs agricoles
Université du Québec à Trois-Rivières,universite du quebec a trois rivieres
