tag,seed,dep_var,window,estimate,std_error,p_value,n,n_states,lb,ub
23,146,density,+-4,-0.0027344798622775564,0.005734632469245325,0.6392165193569781,171,19,-0.013974359501998393,0.00850539977744328
23,146,density,+-5,-0.004470657175324946,0.006240556645727202,0.48294404499522026,209,19,-0.016702148200950263,0.007760833850300371
23,146,density,all,-0.01751801876390565,0.011826152733354457,0.15582163834106344,304,19,-0.040697278121280385,0.005661240593469084
24,147,density,+-2,1.371320331765663e-4,0.004230205742133014,0.9744959926005246,95,19,-0.008154071221404142,0.008428335287757273
24,147,density,+-3,-0.0016933019856411975,0.004714393889147908,0.7236415065286381,133,19,-0.010933514008371097,0.0075469100370887015
24,147,density,+-4,-0.00300259542968321,0.0058062778921045615,0.6113623096677168,171,19,-0.01438290009820815,0.008377709238841732
24,147,density,+-5,-0.004241288011925967,0.006278400026804471,0.5079214580089382,209,19,-0.01654695206446273,0.008064376040610794
24,147,density,all,-0.014643698765676914,0.009677170029075158,0.14758386837002957,304,19,-0.033610952022664224,0.004323554491310395
25,148,density,+-2,-5.819007376867732e-5,0.004386684441895358,0.9895621667525986,95,19,-0.008656091579883578,0.008539711432346225
25,148,density,+-3,-0.001140891990079209,0.00545713879643359,0.8367459197801053,133,19,-0.011836884031089047,0.009555100050930628
25,148,density,+-4,-0.003489993794591368,0.006346482240700321,0.589140224620778,171,19,-0.015929098986363997,0.008949111397181263
25,148,density,+-5,-0.004526189534172284,0.00670096228909081,0.5079728075355787,209,19,-0.01766007562079027,0.008607696552445705
25,148,density,all,-0.014881365102468043,0.010051954888551718,0.1560460197175422,304,19,-0.03458319668402941,0.004820466479093325
26,149,density,+-2,-9.257762040381888e-4,0.00405060300130114,0.8217930447462954,95,19,-0.008864958086588423,0.0070134056785120455
26,149,density,+-3,-0.002520012605868454,0.004922482565025998,0.6149171310797146,133,19,-0.01216807843331941,0.007128053221582502
26,149,density,+-4,-0.00463411392639374,0.005631831475055541,0.4213650259357049,171,19,-0.015672503617502602,0.00640427576471512
26,149,density,+-5,-0.00588188736488992,0.006372455879271546,0.3682061766381155,209,19,-0.01837190088826215,0.00660812615848231
26,149,density,all,-0.016797177957653793,0.010031809235793313,0.11134033239624055,304,19,-0.036459524059808686,0.0028651681445011
27,150,density,+-2,-0.0017455236006712314,0.004024015765065346,0.6696050486022918,95,19,-0.00963259450019931,0.006141547298856847
27,150,density,+-3,-0.0030757449086979997,0.004896846039966056,0.5378221256823883,133,19,-0.012673563147031469,0.006522073329635471
27,150,density,+-4,-0.0044329892624514295,0.005603505016443344,0.439180212177956,171,19,-0.015415859094680382,0.006549880569777524
27,150,density,+-5,-0.005252478346709487,0.00611986380556574,0.40202944898128,209,19,-0.017247411405618335,0.006742454712199362
27,150,density,all,-0.015443862309255686,0.009438828528999101,0.11916137153458035,304,19,-0.03394396622609393,0.0030562416075825515
28,151,density,+-2,-4.1519286913084145e-4,0.004235285293172996,0.922990401912339,95,19,-0.008716352043749915,0.007885966305488231
28,151,density,+-3,-0.0013061980423461636,0.005353157730873183,0.8099863556871119,133,19,-0.011798387194857603,0.009185991110165274
28,151,density,+-4,-0.0022414705290789345,0.00595552335477462,0.7110426963281835,171,19,-0.013914296304437189,0.00943135524627932
28,151,density,+-5,-0.0035406093480073258,0.006392865633319116,0.5865050036607216,209,19,-0.016070625989312793,0.00898940729329814
28,151,density,all,-0.014078169356484326,0.009884670559598326,0.17148245490601352,304,19,-0.03345212365329704,0.005295784940328393
29,152,density,+-2,2.814230121011451e-4,0.004288809434361818,0.9484052760566309,95,19,-0.008124643479248019,0.00868748950345031
29,152,density,+-3,-4.002979172029671e-4,0.00539214973610484,0.9416404679157744,133,19,-0.010968911399968454,0.01016831556556252
29,152,density,+-4,-0.0023001974518438253,0.005992191885773467,0.7055745936875336,171,19,-0.01404489354795982,0.00944449864427217
29,152,density,+-5,-0.0035724357158763652,0.006652821610873992,0.5978567662179595,209,19,-0.016611966073189387,0.009467094641436658
29,152,density,all,-0.013687552637586687,0.009770416179719823,0.17824315260899087,304,19,-0.03283756834983754,0.0054624630746641645
30,153,density,+-2,-9.936397461015193e-4,0.004101082160808978,0.8112967149755279,95,19,-0.009031760781287115,0.007044481289084077
30,153,density,+-3,-0.0016922991767497066,0.00527063900327135,0.7518474946633328,133,19,-0.012022751623161552,0.008638153269662139
30,153,density,+-4,-0.002472332866755535,0.0062154256323577245,0.6954748970775251,171,19,-0.014654567106176674,0.009709901372665605
30,153,density,+-5,-0.004478024079973504,0.006386873446123685,0.49218784566065,209,19,-0.016996296034375927,0.008040247874428919
30,153,density,all,-0.014693413978175295,0.009696785931257713,0.1470634955956603,304,19,-0.03369911440344041,0.00431228644708982
31,154,density,+-2,-0.0018300689263860107,0.003455878472576053,0.602893109866117,95,19,-0.008603590732635074,0.004943452879863053
31,154,density,+-3,-0.0031548557491647275,0.004536800157301615,0.4956899476910879,133,19,-0.012046984057475892,0.005737272559146438
31,154,density,+-4,-0.005459153932295789,0.005065444114558261,0.29538863181153446,171,19,-0.01538742439682998,0.004469116532238403
31,154,density,+-5,-0.006081851813253726,0.005728965585383169,0.30245551827347184,209,19,-0.017310624360604737,0.005146920734097286
